"ts","trigger","day","week","month"
2019-04-12 17:00:00,"Peanut Butter",2019-04-13,2019-04-07,2019-04-01
2019-04-12 03:45:00,"High Fructose Corn Syrup",2019-04-12,2019-04-07,2019-04-01
2019-04-12 03:45:00,"Phosphoric Acid",2019-04-12,2019-04-07,2019-04-01
2019-04-12 03:45:00,"Caffeine",2019-04-12,2019-04-07,2019-04-01
2019-04-12 03:45:00,"Carbonated Water",2019-04-12,2019-04-07,2019-04-01
2019-04-12 03:45:00,"Caramel Color",2019-04-12,2019-04-07,2019-04-01
2019-04-12 03:45:00,"Natural Flavors",2019-04-12,2019-04-07,2019-04-01
2019-04-11 22:35:00,"Tomato",2019-04-12,2019-04-07,2019-04-01
2019-04-11 22:35:00,"Corn",2019-04-12,2019-04-07,2019-04-01
2019-04-11 22:35:00,"cheese",2019-04-12,2019-04-07,2019-04-01
2019-04-11 22:35:00,"Bread",2019-04-12,2019-04-07,2019-04-01
2019-04-12 02:35:00,"Quinoa",2019-04-12,2019-04-07,2019-04-01
2019-04-12 02:35:00,"Green Beans",2019-04-12,2019-04-07,2019-04-01
2019-04-12 02:35:00,"Corn",2019-04-12,2019-04-07,2019-04-01
2019-04-11 19:05:00,"Onion",2019-04-12,2019-04-07,2019-04-01
2019-04-11 19:05:00,"bell pepper",2019-04-12,2019-04-07,2019-04-01
2019-04-11 19:05:00,"Rice noodle",2019-04-12,2019-04-07,2019-04-01
2019-04-11 19:05:00,"Beef",2019-04-12,2019-04-07,2019-04-01
2019-04-11 19:05:00,"Spicy",2019-04-12,2019-04-07,2019-04-01
2019-04-11 19:05:00,"Thai sauce",2019-04-12,2019-04-07,2019-04-01
2019-04-11 01:35:00,"Quinoa",2019-04-11,2019-04-07,2019-04-01
2019-04-11 01:35:00,"Green Beans",2019-04-11,2019-04-07,2019-04-01
2019-04-11 01:35:00,"Corn",2019-04-11,2019-04-07,2019-04-01
2019-04-10 19:10:00,"Oats",2019-04-11,2019-04-07,2019-04-01
2019-04-10 19:10:00,"Peanut Butter",2019-04-11,2019-04-07,2019-04-01
2019-04-10 19:10:00,"Lactose-free milk",2019-04-11,2019-04-07,2019-04-01
2019-04-10 16:15:00,"Lactose-free milk",2019-04-10,2019-04-07,2019-04-01
2019-04-10 06:05:00,"Quinoa",2019-04-10,2019-04-07,2019-04-01
2019-04-10 06:05:00,"Green Beans",2019-04-10,2019-04-07,2019-04-01
2019-04-10 06:05:00,"Corn",2019-04-10,2019-04-07,2019-04-01
2019-04-09 21:15:00,"Beef",2019-04-10,2019-04-07,2019-04-01
2019-04-09 21:15:00,"Soy Sauce",2019-04-10,2019-04-07,2019-04-01
2019-04-09 21:15:00,"Rice",2019-04-10,2019-04-07,2019-04-01
2019-04-09 21:15:00,"vegetables",2019-04-10,2019-04-07,2019-04-01
2019-04-09 19:05:00,"Sugar",2019-04-10,2019-04-07,2019-04-01
2019-04-09 19:05:00,"Milk",2019-04-10,2019-04-07,2019-04-01
2019-04-09 19:05:00,"Coffee",2019-04-10,2019-04-07,2019-04-01
2019-04-09 03:10:00,"Tomato",2019-04-09,2019-04-07,2019-04-01
2019-04-09 03:10:00,"Corn",2019-04-09,2019-04-07,2019-04-01
2019-04-09 03:10:00,"cheese",2019-04-09,2019-04-07,2019-04-01
2019-04-09 03:10:00,"Bread",2019-04-09,2019-04-07,2019-04-01
2019-04-08 18:15:00,"Lactose-free milk",2019-04-09,2019-04-07,2019-04-01
2019-04-08 20:10:00,"Lactose-free milk",2019-04-09,2019-04-07,2019-04-01
2019-04-08 22:10:00,"Hummus",2019-04-09,2019-04-07,2019-04-01
2019-04-08 22:10:00,"Turkey",2019-04-09,2019-04-07,2019-04-01
2019-04-08 22:10:00,"Tomato",2019-04-09,2019-04-07,2019-04-01
2019-04-08 22:10:00,"Bread",2019-04-09,2019-04-07,2019-04-01
2019-04-07 04:45:00,"doe",2019-04-07,2019-04-07,2019-04-01
2019-04-07 04:45:00,"lettuce",2019-04-07,2019-04-07,2019-04-01
2019-04-07 04:45:00,"Cabbage",2019-04-07,2019-04-07,2019-04-01
2019-04-07 04:45:00,"Pork",2019-04-07,2019-04-07,2019-04-01
2019-04-07 20:15:00,"Sugar",2019-04-08,2019-04-07,2019-04-01
2019-04-07 20:15:00,"Milk",2019-04-08,2019-04-07,2019-04-01
2019-04-07 20:15:00,"Coffee",2019-04-08,2019-04-07,2019-04-01
2019-04-06 20:50:00,"Lactose-free milk",2019-04-07,2019-04-07,2019-04-01
2019-04-06 06:40:00,"Corn",2019-04-06,2019-03-31,2019-04-01
2019-04-06 06:40:00,"Sugar",2019-04-06,2019-03-31,2019-04-01
2019-04-06 06:40:00,"Peanut Butter",2019-04-06,2019-03-31,2019-04-01
2019-04-05 22:20:00,"Tomato",2019-04-06,2019-03-31,2019-04-01
2019-04-05 22:20:00,"Provolone cheese",2019-04-06,2019-03-31,2019-04-01
2019-04-05 22:20:00,"lettuce",2019-04-06,2019-03-31,2019-04-01
2019-04-05 22:20:00,"Pastrami",2019-04-06,2019-03-31,2019-04-01
2019-04-05 22:20:00,"Mayo",2019-04-06,2019-03-31,2019-04-01
2019-04-05 18:15:00,"Lactose-free milk",2019-04-06,2019-03-31,2019-04-01
2019-04-05 17:00:00,"Lactose-free milk",2019-04-06,2019-03-31,2019-04-01
2019-04-04 23:05:00,"doe",2019-04-05,2019-03-31,2019-04-01
2019-04-04 23:05:00,"lettuce",2019-04-05,2019-03-31,2019-04-01
2019-04-04 23:05:00,"Lactose-free milk",2019-04-05,2019-03-31,2019-04-01
